componentid,Stockwerk,Raum,Bemerkung,FI,Leiter,Gruppe,Sicherung,Relais,Dimmer,Ausgang,Eingang,Kabel Info,Typ,Info ,Beschr. ,Stockwerk,SPS Position im array
1,Keller,Heizraum,Pumpe Wärmetauscher Solar,,L3,K-HEIZ03,S1,1,,,,,PD,Dose,Pumpe Wärmetauscher Solar,KG,
2,Keller,Heizraum,Pumpe Solar,,L3,K-HEIZ03,S1,1,,,,,PD,Dose,Pumpe Solar,KG,
3,Obergeschoß,Haustechnik,Dimmer Reset L1 OG,,L1,,S12,R18.2,,R2M4Sl0Pr02,,,,,,OG,155
4,Obergeschoß,Haustechnik,Dimmer Reset L2 OG,,L2,,S6,R49,,R2M6Sl0Pr05,,,,,,OG,156
5,Erdgeschoss,Wohnzimmer,E-DO04,,L2,E-DO15,S15,???,,,,,DO,Dose,Wohnzimmer,EG,
6,Keller,Heizraum,240V,,,K-HEIZ01,S21,direkt,,R0M11Sl0Pr0,,,VE,Dose,Stellantriebe Heizungsverteiler EG,KG,
7,Keller,Heizraum,240V,,,K-HEIZ01,S21,direkt,,R0M11Sl0Pr1,,,Ve,Dose,Stellantriebe Heizungsverteiler EG,KG,
8,Keller,Heizraum,240V,,,K-HEIZ01,S21,direkt,,R0M11Sl0Pr2,,,VE,Dose,Stellantriebe Heizungsverteiler EG,KG,
9,Keller,Heizraum,240V,,,K-HEIZ01,S21,direkt,,R0M11Sl0Pr3,,,VE,Dose,Stellantriebe Heizungsverteiler EG,KG,
10,Keller,Heizraum,240V,,,K-HEIZ01,S21,direkt,,R0M11Sl0Pr4,,,VE,Dose,Stellantriebe Heizungsverteiler EG,KG,
11,Keller,Heizraum,240V,,,K-HEIZ01,S21,direkt,,R0M11Sl0Pr5,,,VE,Dose,Stellantriebe Heizungsverteiler EG,KG,
12,Keller,Heizraum,240V,,,K-HEIZ01,S21,direkt,,R0M11Sl0Pr6,,,VE,Dose,Stellantriebe Heizungsverteiler EG,KG,
13,Keller,Heizraum,240V,,,K-HEIZ01,S21,direkt,,R0M11Sl0Pr7,,,VE,Dose,Stellantriebe Heizungsverteiler EG,KG,
14,Keller,Heizraum,240V,,,K-HEIZ01,S21,direkt,,R1M0Sl0Pr0,,,VE,Dose,Stellantrieb Heizung FB Keller,KG,
15,Keller,Heizraum,240V,,,K-HEIZ01,S21,direkt,,R1M0Sl0Pr1,,,VE,Dose,,KG,
16,Keller,Heizraum,240V,,,K-HEIZ01,S21,direkt,,R1M0Sl0Pr2,,,VE,Dose,,KG,
17,Keller,Heizraum,240V,,,K-HEIZ01,S21,direkt,,R1M0Sl0Pr3,,,VE,Dose,Stellantriebe Heizungsverteiler EG,KG,
18,Keller,Heizraum,240V,,,K-HEIZ01,S21,direkt,,R1M0Sl0Pr5,,,VE,Dose,Stellantrieb Heizung Keller Radiatoren,KG,
19,Keller,Heizraum,240V,,,K-HEIZ01,S21,direkt,,R1M0Sl0Pr7,,,VE,Dose,Stellantrieb Heizung Keller Radiatoren,KG,
20,Keller,Heizraum,240V,,,K-HEIZ01,S21,direkt,,R1M0Sl0Pr4,,,VE,Dose,Stellantrieb Heizung Keller Radiatoren,KG,
21,Keller,Heizraum,240V,,,K-HEIZ01,S21,direkt,,R1M0Sl0Pr6,,,VE,Dose,Stellantrieb Heizung FB Keller,KG,
22,Erdgeschoss,Bad,Strom für Spülung Pissoire,,L3,,S6,nein,,,,,,Dose dauer,Strom für Spülung Pissoire,EG,
23,Erdgeschoss,Garderobe,E-Dod09 (in Summe  nur 4! Nicht 5!),,L3,E-DO02,S6,nein,,,,,,Dose dauer,,NoSPS,
24,Erdgeschoss,Gästezimmer,E-DOd01/E-Dod02,,L3,E-DO02,S6,nein,,,,,,Dose dauer,,NoSPS,
25,Erdgeschoss,Küche,E-DO07 Küche Abwasch,,L1,,S25,nein,,,,,,Dose dauer,,EG,
26,Erdgeschoss,Küche,E-DOd07,,,,S31,nein,,,,,,Dose dauer,,EG,
27,Erdgeschoss,Küche,Kochinsel 230V,,,,S31,nein,,,,,,Dose dauer,,EG,
28,Erdgeschoss,Wohnzimmer,E-DO400V-01,,L,E-DO05,gleich wie *,nein,,,,,,Dose dauer 400V,,EG,
29,Erdgeschoss,Wohnzimmer,E-Dod04,,L1,E-DO03,S25,nein,,,,,,Dose dauer,,NoSPS,
30,Erdgeschoss,Wohnzimmer,Kochinsel 400 V,,L,,gleich wie *,nein,,,,,,Dose dauer 400V,,EG,
31,Keller,Flur,K03DOd,,L3,K-DO01,S2,nein,,,,,,Dose Dauer,auf zweite durchgeschliffen,NoSPS,
32,Keller,Speis,K010-Dod(hinten),,L2,K-DO05,S13,nein,,,,,,Dose dauer,,KG,
33,Keller,Speis,K09-Dod(vorne),,L2,K-DO05,S13,nein,,,,,,Dose dauer,,KG,
34,Keller,Werkstatt 1 ,K-07DOd (hinten),,,K-DO02,S32,nein,,,,,DO,Dose dauer,,NoSPS,
35,Keller,Werkstatt 1 ,K08-Dod(vorne),,L3,K-DO01,S2,nein,,,,,DO,Dose dauer,,KG,
36,Keller,Werkstatt 1 ,Licht hinten,,L1,K-LI01,S20,R1,,R0M2Sl0Pr0,,,LS,Licht,,EG,
37,Obergeschoß,Haustechnik,Dimmer Reset L3 OG,,L3,,S5,R54,,R2M2Sl0Pr13,,,,,,OG,157
38,Obergeschoß,Ankleide,Dose Südwand,,L2,O-DO04,S16,R200,,R3M5Sl0Pr6,,,,Dose,Südwand,OG,
39,Keller,Waschraum,Licht Decke ,,L1,K-LI01,S20,R10,,R0M2Sl0Pr9,,,LS,Licht,,EG,
40,Obergeschoß,Ankleide,Licht Kasten,,,,S16,R205,,R3M5Sl0Pr1,,,,Licht,Kasten,OG,
