epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.916,2.44397,3.72605,4.16037,1.57787,0.57182,0.04756,0.04162,0.02282,0.3018,0.0618,0.03752,0.01307,1.77362,2.34402,11.672,1.14122,0.00014375,0.00014375,0.00014375
2,269.741,1.92439,2.69322,2.4233,1.20829,0.74562,0.08488,0.077,0.04495,0.74344,0.08152,0.07432,0.0306,1.85122,2.24353,6.28016,1.21762,0.000288903,0.000288903,0.000288903
3,406.137,1.68108,2.43946,1.96425,1.1315,0.66289,0.16637,0.18569,0.11765,0.6398,0.15949,0.17388,0.09062,1.58689,2.10935,3.02192,1.10494,0.000429106,0.000429106,0.000429106
4,541.37,1.63234,2.29108,1.66339,1.08875,0.33121,0.32233,0.23576,0.14076,0.31689,0.30289,0.21162,0.10036,1.58435,2.20244,2.33292,1.10052,0.000564359,0.000564359,0.000564359
5,666.664,1.62176,2.23095,1.60229,1.08463,0.47982,0.29596,0.3076,0.19053,0.4729,0.28607,0.29006,0.136,1.44873,2.04107,2.0781,1.06301,0.00058375,0.00058375,0.00058375
6,793.798,1.75557,2.49655,1.70289,1.17321,0.35742,0.39733,0.32845,0.21166,0.34952,0.38514,0.30848,0.1535,1.41633,2.00744,2.04888,1.05131,0.000573438,0.000573438,0.000573438
7,921.319,1.4721,2.23973,1.31382,1.04092,0.54863,0.39412,0.39248,0.26426,0.54096,0.38453,0.37798,0.19076,1.35369,1.83902,1.48714,1.01385,0.000563125,0.000563125,0.000563125
8,1043.92,1.40652,2.11828,1.26495,1.02077,0.45297,0.42874,0.42721,0.29182,0.44016,0.42547,0.42057,0.23031,1.33341,1.84862,1.43835,1.00132,0.000552813,0.000552813,0.000552813
9,1169.74,1.43737,2.12019,1.26873,1.02199,0.53728,0.3975,0.45677,0.31985,0.5259,0.39359,0.4418,0.25185,1.23814,1.83848,1.30453,0.98923,0.0005425,0.0005425,0.0005425
10,1293.83,1.31353,1.91807,1.11365,0.98286,0.53016,0.44536,0.46472,0.32266,0.52163,0.43911,0.4481,0.24825,1.2326,1.7921,1.30428,0.98703,0.000532187,0.000532187,0.000532187
11,1418.69,1.34101,1.95731,1.21335,0.98687,0.5455,0.4511,0.4793,0.32891,0.52674,0.43751,0.45813,0.25895,1.23007,1.82806,1.32355,0.98375,0.000521875,0.000521875,0.000521875
12,1543.81,1.31889,1.89848,1.05233,0.97207,0.57421,0.45999,0.50151,0.34882,0.56467,0.44489,0.48407,0.27674,1.20495,1.78093,1.26416,0.9701,0.000511562,0.000511562,0.000511562
13,1667.48,1.25244,1.82172,1.02029,0.96973,0.59996,0.44507,0.50944,0.36646,0.5913,0.43778,0.49878,0.29407,1.19837,1.71049,1.19039,0.9541,0.00050125,0.00050125,0.00050125
14,1791.51,1.33799,1.92006,1.05328,0.98583,0.62034,0.4664,0.51471,0.36574,0.61353,0.45888,0.50733,0.28249,1.20907,1.71138,1.18028,0.95865,0.000490937,0.000490937,0.000490937
15,1914.84,1.19816,1.70519,0.92154,0.94698,0.6136,0.45862,0.52176,0.3757,0.60732,0.45439,0.50985,0.28595,1.18377,1.65079,1.18054,0.96285,0.000480625,0.000480625,0.000480625
16,2040.53,1.23507,1.85204,0.98812,0.97044,0.60776,0.45859,0.52071,0.37568,0.60079,0.45297,0.51006,0.28965,1.1838,1.73762,1.16447,0.96466,0.000470312,0.000470312,0.000470312
17,2164.42,1.2664,1.87099,0.96691,0.96388,0.63945,0.44214,0.52035,0.38271,0.62747,0.43466,0.50681,0.28827,1.14401,1.64268,1.10904,0.94982,0.00046,0.00046,0.00046
18,2287.8,1.13587,1.5544,0.89544,0.93389,0.65706,0.47199,0.53392,0.3946,0.65155,0.46693,0.5167,0.29369,1.14077,1.61011,1.04628,0.9462,0.000449688,0.000449688,0.000449688
19,2411.2,1.12807,1.66981,0.90403,0.94117,0.65993,0.48643,0.5342,0.39954,0.65174,0.4803,0.52395,0.30605,1.15323,1.64517,1.04693,0.94207,0.000439375,0.000439375,0.000439375
20,2534.17,1.17579,1.71308,0.88575,0.9403,0.76052,0.49921,0.54128,0.40508,0.75421,0.49157,0.5283,0.3117,1.13825,1.64913,1.03769,0.9367,0.000429063,0.000429063,0.000429063
21,2656.43,1.17484,1.70686,0.88605,0.92792,0.76336,0.4963,0.55238,0.41155,0.75727,0.48913,0.5359,0.3108,1.13247,1.57135,1.00965,0.93565,0.00041875,0.00041875,0.00041875
22,2781.85,1.2094,1.69101,0.87858,0.92838,0.7485,0.49701,0.55616,0.41376,0.74436,0.49259,0.54074,0.3118,1.1363,1.56533,0.99375,0.93586,0.000408438,0.000408438,0.000408438
23,2906.6,1.15416,1.56745,0.82251,0.91523,0.82561,0.52878,0.56785,0.42005,0.84237,0.50505,0.54006,0.32578,1.11786,1.59614,0.99392,0.94003,0.000398125,0.000398125,0.000398125
24,3029.01,1.06626,1.48646,0.77909,0.9046,0.85062,0.52025,0.56129,0.42801,0.84238,0.5127,0.54398,0.32655,1.09668,1.55038,1.02147,0.943,0.000387813,0.000387813,0.000387813
25,3150.4,1.06292,1.51916,0.80434,0.90108,0.85646,0.52864,0.57365,0.42647,0.84793,0.50259,0.54653,0.32419,1.10062,1.52558,0.93027,0.94185,0.0003775,0.0003775,0.0003775
26,3275.16,1.20362,1.74532,0.84258,0.93671,0.86483,0.52657,0.57495,0.42583,0.84126,0.49793,0.54721,0.32869,1.11464,1.53741,0.90859,0.9421,0.000367187,0.000367187,0.000367187
27,3397.33,1.05441,1.47081,0.73672,0.90665,0.85147,0.52523,0.57652,0.43183,0.81895,0.50408,0.55224,0.33881,1.10218,1.54814,0.87493,0.93172,0.000356875,0.000356875,0.000356875
28,3521.4,1.00083,1.35127,0.72458,0.89055,0.85304,0.52543,0.57722,0.43472,0.82463,0.50225,0.55383,0.33677,1.09737,1.54356,0.85571,0.9291,0.000346563,0.000346563,0.000346563
29,3647.03,1.08497,1.51431,0.73361,0.89248,0.84601,0.52483,0.58596,0.4432,0.85402,0.49402,0.55965,0.34041,1.07856,1.57921,0.8418,0.9271,0.00033625,0.00033625,0.00033625
30,3770.83,1.08117,1.6066,0.77034,0.92209,0.83581,0.53123,0.58981,0.44695,0.84044,0.50109,0.56378,0.34563,1.06354,1.56019,0.84644,0.92638,0.000325938,0.000325938,0.000325938
31,3898.08,1.07487,1.50573,0.7181,0.87862,0.84004,0.52896,0.57625,0.44413,0.83032,0.51237,0.55202,0.34599,1.0682,1.51738,0.88918,0.92842,0.000315625,0.000315625,0.000315625
32,4022.13,1.03405,1.47842,0.69886,0.8938,0.8447,0.52588,0.57178,0.44326,0.83027,0.51111,0.55227,0.3469,1.07738,1.53609,0.92986,0.9273,0.000305312,0.000305312,0.000305312
33,4142.06,1.02185,1.50042,0.7387,0.91207,0.82738,0.52197,0.57094,0.44185,0.81881,0.51395,0.55936,0.33627,1.08878,1.56681,0.92678,0.92902,0.000295,0.000295,0.000295
34,4265.37,1.05808,1.49981,0.67983,0.89154,0.82411,0.52631,0.57189,0.43775,0.81677,0.52269,0.55728,0.33041,1.10414,1.55163,0.91257,0.93226,0.000284688,0.000284688,0.000284688
35,4386.31,0.97783,1.39592,0.67234,0.89193,0.84613,0.51632,0.57422,0.436,0.8261,0.50098,0.54578,0.33046,1.0755,1.54267,0.8678,0.92834,0.000274375,0.000274375,0.000274375
36,4510.34,1.00923,1.42044,0.66933,0.88108,0.85343,0.51106,0.57339,0.43557,0.83315,0.49634,0.54575,0.33217,1.05799,1.53789,0.85169,0.92457,0.000264062,0.000264062,0.000264062
37,4633.84,1.01394,1.4666,0.69368,0.88751,0.80077,0.50627,0.56181,0.43279,0.79321,0.49887,0.54371,0.3321,1.07024,1.56311,0.84754,0.93029,0.00025375,0.00025375,0.00025375
38,4757.39,1.02186,1.48479,0.7024,0.90203,0.81283,0.51276,0.56265,0.43069,0.79625,0.48977,0.54018,0.33198,1.07717,1.55569,0.86846,0.9309,0.000243437,0.000243437,0.000243437
