epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,597.257,2.5853,4.18549,2.3133,0.06234,0.01635,0.03386,0.01906,2.15395,3.78083,1.82304,3.75e-05,3.75e-05,3.75e-05
2,1119.33,2.36817,3.54106,2.074,0.54293,0.01786,0.02467,0.01725,2.01813,4.78086,1.76718,7.96412e-05,7.96412e-05,7.96412e-05
3,1559.9,2.07216,2.75799,1.7906,0.26245,0.01972,0.03455,0.01812,1.83071,5.87074,1.63699,0.00012005,0.00012005,0.00012005
4,1961.14,1.92055,2.52443,1.72115,0.06987,0.03298,0.05305,0.03583,1.76371,4.54102,1.59343,0.000158726,0.000158726,0.000158726
5,2395.78,1.82615,2.43077,1.64931,0.41533,0.05161,0.06985,0.03738,1.70008,3.26478,1.55074,0.00019567,0.00019567,0.00019567
6,2775.78,1.70136,2.12378,1.57331,0.42527,0.05514,0.07079,0.04262,1.65118,2.71692,1.54089,0.000230881,0.000230881,0.000230881
7,3176.65,1.68829,2.12635,1.58347,0.44559,0.07038,0.0659,0.03934,1.63217,2.2744,1.54325,0.00026436,0.00026436,0.00026436
8,3491.52,1.54832,1.89885,1.51054,0.44101,0.07024,0.06499,0.04253,1.56687,2.61126,1.50028,0.000296106,0.000296106,0.000296106
9,3845.28,1.49079,1.71709,1.48016,0.41386,0.07482,0.08538,0.05635,1.50732,2.31635,1.45445,0.00032612,0.00032612,0.00032612
10,4192.65,1.52522,1.81015,1.49611,0.39656,0.10816,0.10196,0.0656,1.43751,1.87817,1.40951,0.000354401,0.000354401,0.000354401
11,4541.02,1.45338,1.7674,1.47688,0.3865,0.14093,0.13306,0.0759,1.49312,2.23991,1.4987,0.00038095,0.00038095,0.00038095
12,4906.01,1.39521,1.66995,1.43474,0.40076,0.12718,0.11905,0.06307,1.54461,2.03132,1.52627,0.000405766,0.000405766,0.000405766
13,5247.55,1.43883,1.66829,1.45655,0.33456,0.12951,0.12445,0.06961,1.52375,1.89362,1.49387,0.00042885,0.00042885,0.00042885
14,5630.28,1.37756,1.59988,1.46599,0.32726,0.10433,0.08595,0.04306,1.5389,2.70265,1.5391,0.000450201,0.000450201,0.000450201
15,6085.64,1.41273,1.6496,1.46778,0.5145,0.10182,0.09436,0.05313,1.54304,2.70544,1.51886,0.00045175,0.00045175,0.00045175
16,6526.45,1.37326,1.49939,1.39192,0.54052,0.12134,0.12283,0.07085,1.45897,2.13208,1.46274,0.000439375,0.000439375,0.000439375
17,6977.7,1.32257,1.50917,1.3863,0.59672,0.10279,0.11325,0.06636,1.47571,2.16026,1.46581,0.000427,0.000427,0.000427
18,7421.72,1.31371,1.5077,1.39932,0.43273,0.12829,0.14138,0.08013,1.41901,1.74617,1.43792,0.000414625,0.000414625,0.000414625
19,7875.23,1.27213,1.44954,1.41928,0.39596,0.23573,0.21568,0.12525,1.36548,1.5969,1.38673,0.00040225,0.00040225,0.00040225
20,8332.36,1.28949,1.42296,1.3586,0.44711,0.22762,0.2216,0.12785,1.33391,1.594,1.37004,0.000389875,0.000389875,0.000389875
21,8745.28,1.24647,1.36753,1.35766,0.4384,0.25897,0.25054,0.1445,1.36268,1.62286,1.38041,0.0003775,0.0003775,0.0003775
22,9193.1,1.27148,1.42727,1.35353,0.43662,0.2408,0.23714,0.13621,1.40853,1.66685,1.42469,0.000365125,0.000365125,0.000365125
23,9616.98,1.26825,1.39989,1.37042,0.31054,0.3001,0.25783,0.14951,1.34941,1.66524,1.40194,0.00035275,0.00035275,0.00035275
24,10024.3,1.18997,1.35968,1.32909,0.31854,0.31977,0.27151,0.14953,1.35135,1.60111,1.40449,0.000340375,0.000340375,0.000340375
25,10456.7,1.24568,1.3761,1.32203,0.43717,0.26448,0.28672,0.1564,1.37988,1.60201,1.42418,0.000328,0.000328,0.000328
26,10903.3,1.23348,1.32273,1.34593,0.48599,0.35866,0.31368,0.17568,1.39432,1.52852,1.40958,0.000315625,0.000315625,0.000315625
27,11307.8,1.17739,1.2776,1.31554,0.4964,0.35419,0.32943,0.18894,1.34321,1.50708,1.36753,0.00030325,0.00030325,0.00030325
28,11692.3,1.17722,1.2347,1.27785,0.43283,0.3269,0.305,0.17776,1.3326,1.50272,1.35444,0.000290875,0.000290875,0.000290875
29,12092.9,1.15586,1.21622,1.2814,0.47959,0.27518,0.29797,0.16676,1.34377,1.49463,1.36375,0.0002785,0.0002785,0.0002785
30,12477.6,1.17345,1.21248,1.25636,0.42885,0.27643,0.28847,0.16561,1.36004,1.47108,1.36529,0.000266125,0.000266125,0.000266125
31,12862.4,1.1092,1.24197,1.30186,0.31605,0.33226,0.30338,0.17284,1.36889,1.54776,1.36148,0.00025375,0.00025375,0.00025375
32,13298.1,1.13711,1.27841,1.28288,0.39344,0.28768,0.29366,0.16523,1.33645,1.62802,1.34017,0.000241375,0.000241375,0.000241375
33,13722.2,1.17863,1.24142,1.29502,0.41624,0.30938,0.30519,0.17226,1.30752,1.54676,1.32173,0.000229,0.000229,0.000229
34,14115.8,1.10409,1.12891,1.25443,0.43775,0.32969,0.32536,0.18616,1.28617,1.35833,1.30186,0.000216625,0.000216625,0.000216625
35,14513.9,1.12141,1.10193,1.23616,0.40342,0.36823,0.33501,0.19702,1.27155,1.33679,1.28847,0.00020425,0.00020425,0.00020425
36,14883.5,1.10357,1.17352,1.24838,0.44003,0.332,0.33993,0.20636,1.25238,1.31613,1.29479,0.000191875,0.000191875,0.000191875
