epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3256,2.64943,4.31436,4.67341,1.64712,0,0,0,0,0,0,0,0,2.06054,2.90538,4.77041,1.28933,4.002e-05,4.002e-05,4.002e-05
2,66.9947,2.26648,3.32287,4.59853,1.42736,0,0,0,0,0,0,0,0,2.01206,2.63697,4.68176,1.19215,8.49931e-05,8.49931e-05,8.49931e-05
3,99.5,2.35596,3.33348,4.52729,1.45125,0,0,0,0,0,0,0,0,1.8917,2.5793,4.60046,1.11939,0.000128117,0.000128117,0.000128117
4,132.124,2.08429,3.1446,4.32288,1.38727,0,0,0,0,0,0,0,0,1.83287,2.54347,4.58506,1.08974,0.000169393,0.000169393,0.000169393
5,163.562,1.89207,2.5642,4.24911,1.20289,0,0,0,0,0,0,0,0,1.67411,2.39954,4.52615,1.02836,0.000208819,0.000208819,0.000208819
6,196.31,1.83259,2.58522,4.06196,1.16168,0,0,0,0,0,0,0,0,1.60396,2.43408,4.4444,0.99049,0.000246396,0.000246396,0.000246396
7,231.062,1.8407,2.60319,3.95107,1.17405,0,0,0,0,0,0,0,0,1.60396,2.43408,4.4444,0.99049,0.000282125,0.000282125,0.000282125
8,264.238,1.94336,2.60503,3.8477,1.16237,0,0,0,0,0,0,0,0,1.58479,2.32777,4.31574,0.98157,0.000316005,0.000316005,0.000316005
9,296.332,1.89792,2.31764,3.55655,1.03898,0.06742,0.13057,0.06765,0.03064,0.06503,0.13174,0.06276,0.02443,1.61044,2.16351,4.06644,0.98053,0.000348035,0.000348035,0.000348035
10,330.396,1.94281,2.72975,3.56068,1.09826,0.06742,0.13057,0.06765,0.03064,0.06503,0.13174,0.06276,0.02443,1.61044,2.16351,4.06644,0.98053,0.000378217,0.000378217,0.000378217
11,361.3,1.81439,2.32147,3.36074,1.04404,0.06952,0.27069,0.12342,0.06065,0.06536,0.26342,0.11627,0.05182,1.62485,2.15424,3.63478,0.98051,0.00040655,0.00040655,0.00040655
12,394.382,1.78072,2.28501,3.22442,1.07435,0.06952,0.27069,0.12342,0.06065,0.06536,0.26342,0.11627,0.05182,1.62485,2.15424,3.63478,0.98051,0.000433034,0.000433034,0.000433034
13,427.145,1.64554,2.09781,2.87758,1.09108,0.48091,0.1547,0.19684,0.11023,0.46938,0.141,0.17612,0.08602,1.61207,2.07607,2.94999,0.97654,0.000457669,0.000457669,0.000457669
14,462.536,1.6863,2.27141,3.00955,1.00782,0.48091,0.1547,0.19684,0.11023,0.46938,0.141,0.17612,0.08602,1.61207,2.07607,2.94999,0.97654,0.000480455,0.000480455,0.000480455
15,492.882,1.6034,2.07977,2.7311,1.04236,0.56503,0.25046,0.23939,0.1416,0.55224,0.23142,0.21788,0.11441,1.62495,2.06297,2.28663,0.98785,0.000482108,0.000482108,0.000482108
