epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2478,2.97775,4.95616,1.91708,0.00915,0.01027,0.00481,0.00271,2.13463,4.83252,1.98793,0,0,0
2,29.5767,3.01232,5.05401,2.27513,0.00937,0.01027,0.00489,0.00325,2.12514,4.83489,1.95515,9.802e-06,9.802e-06,9.802e-06
3,41.7587,2.70725,4.92494,2.01435,0.00987,0.01027,0.00521,0.00255,2.08393,4.82435,1.93612,1.9208e-05,1.9208e-05,1.9208e-05
4,54.3335,2.75008,4.53924,1.7997,0.01205,0.0137,0.00663,0.00287,2.09892,4.79562,1.95399,2.8218e-05,2.8218e-05,2.8218e-05
5,68.8277,2.47627,4.55271,1.71995,0.0119,0.0137,0.00646,0.00283,2.13176,4.63438,2.03676,3.6832e-05,3.6832e-05,3.6832e-05
6,83.2401,2.87222,4.56154,1.9912,0.01506,0.01712,0.00817,0.00401,2.16786,4.63026,1.98403,4.505e-05,4.505e-05,4.505e-05
7,94.0809,2.24933,3.793,1.96639,0.01163,0.0137,0.00615,0.00399,2.13223,4.60616,2.0314,5.2872e-05,5.2872e-05,5.2872e-05
8,106.311,2.18563,3.68132,1.5985,0.01645,0.01712,0.00888,0.00382,2.16178,4.46891,2.11334,6.0298e-05,6.0298e-05,6.0298e-05
9,118.388,1.9782,3.40113,1.8326,0.01136,0.01027,0.00598,0.00296,2.2124,4.45912,2.13023,6.7328e-05,6.7328e-05,6.7328e-05
10,131.641,1.94157,3.36197,1.61174,0.01793,0.05194,0.01158,0.00387,2.32197,4.37883,2.13034,7.3962e-05,7.3962e-05,7.3962e-05
11,144.364,2.19815,2.72556,1.64587,0.26128,0.04167,0.00999,0.00306,2.5197,4.38654,2.11137,8.02e-05,8.02e-05,8.02e-05
12,161.074,2.27415,2.61436,1.72341,0.00218,0.08333,0.00214,0.00029,2.68757,4.84363,2.06717,8.6042e-05,8.6042e-05,8.6042e-05
13,175.164,2.78592,3.08916,1.47508,0.01347,0.08676,0.00796,0.00148,2.76381,6.58223,2.09939,9.1488e-05,9.1488e-05,9.1488e-05
14,187.504,2.25346,2.66566,1.40987,0.02217,0.08676,0.01225,0.0023,2.8803,9.97481,2.19586,9.6538e-05,9.6538e-05,9.6538e-05
15,200.344,1.76784,2.30189,1.53022,0.03252,0.08676,0.0179,0.00345,3.03763,11.7141,2.16443,0.000101192,0.000101192,0.000101192
16,216.742,2.13726,2.07002,1.32816,0.03762,0.12842,0.02259,0.00434,2.97755,10.3616,2.17147,0.00010545,0.00010545,0.00010545
17,230.185,2.02677,2.25095,1.28497,0.76074,0.125,0.02582,0.00446,2.89497,8.23432,2.13827,0.000109312,0.000109312,0.000109312
18,243.111,1.90025,1.8381,1.40195,0.76074,0.125,0.02582,0.00446,2.89497,8.23432,2.13827,0.000112778,0.000112778,0.000112778
19,255.711,1.52266,1.88848,1.4881,0.76866,0.08333,0.05084,0.01336,2.95295,6.86853,2.0508,0.000115848,0.000115848,0.000115848
20,267.958,1.76831,1.72469,1.24366,0.76866,0.08333,0.05084,0.01336,2.95295,6.86853,2.0508,0.000118522,0.000118522,0.000118522
