epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.82973,3.42023,5.70212,2.25914,0.00645,0.1,0.01265,0.00253,3.07113,4.25877,2.28303,0,0,0
2,5.77253,3.4951,5.75654,2.1534,0.00645,0.1,0.0099,0.00198,3.14004,4.22691,2.34967,8.16507e-06,8.16507e-06,8.16507e-06
3,8.70398,3.19306,5.36264,2.00079,0.00667,0.1,0.00789,0.00158,3.17839,4.26267,2.39769,1.60003e-05,1.60003e-05,1.60003e-05
4,11.4395,3.16092,5.41459,2.14327,0.00714,0.1,0.00654,0.00131,3.25294,4.11995,2.42864,2.35056e-05,2.35056e-05,2.35056e-05
5,14.2219,2.91438,5.15908,1.82021,0.00714,0.1,0.00654,0.00131,3.29865,4.14233,2.45681,3.06811e-05,3.06811e-05,3.06811e-05
6,17.2221,3.47863,5.25508,1.84268,0.00714,0.1,0.00654,0.00131,3.25761,4.49803,2.40591,3.75266e-05,3.75266e-05,3.75266e-05
7,20.6914,2.87986,4.91391,1.9102,0.00714,0.1,0.00654,0.00131,3.17905,4.59823,2.35545,4.40424e-05,4.40424e-05,4.40424e-05
8,24.2778,3.6001,4.72273,1.81199,0.00714,0.1,0.00654,0.00131,3.2438,5.11175,2.40786,5.02282e-05,5.02282e-05,5.02282e-05
9,27.7598,2.56045,4.23118,1.54909,0.00714,0.1,0.00654,0.00131,3.39008,5.85087,2.38153,5.60842e-05,5.60842e-05,5.60842e-05
10,31.2897,2.52199,4.16467,1.51849,0.00714,0.1,0.00654,0.00131,3.42859,6.93171,2.28671,6.16103e-05,6.16103e-05,6.16103e-05
11,35.1319,2.94232,4.14027,1.45103,0.00714,0.1,0.00654,0.00131,3.48603,9.20695,2.25224,6.68066e-05,6.68066e-05,6.68066e-05
12,38.6312,2.28666,3.63217,1.47017,0.00714,0.1,0.00654,0.00131,3.56003,13.6442,2.29929,7.1673e-05,7.1673e-05,7.1673e-05
13,42.1764,2.72809,3.00347,1.28987,0.00714,0.1,0.00654,0.00131,3.60819,20.6769,2.32699,7.62095e-05,7.62095e-05,7.62095e-05
14,45.7516,2.07265,2.88346,1.4464,0.00714,0.1,0.00654,0.00131,3.61396,26.4965,2.32217,8.04162e-05,8.04162e-05,8.04162e-05
15,49.5703,1.99324,2.91832,1.36272,0.00714,0.1,0.00654,0.00131,3.76809,32.9527,2.38009,8.42929e-05,8.42929e-05,8.42929e-05
16,53.0773,2.05346,1.97681,1.21872,0.00714,0.1,0.00654,0.00131,3.83452,38.5455,2.51854,8.78398e-05,8.78398e-05,8.78398e-05
17,56.6724,1.7717,1.72705,1.26462,0.00714,0.1,0.00654,0.00131,3.8118,52.3562,2.61927,9.10569e-05,9.10569e-05,9.10569e-05
18,60.6084,1.7049,1.70583,1.19287,0.00714,0.1,0.00654,0.00131,3.8118,52.3562,2.61927,9.39441e-05,9.39441e-05,9.39441e-05
19,64.4345,1.75152,1.58693,1.21963,0.00714,0.1,0.00654,0.00131,3.71927,58.4135,2.62488,9.65014e-05,9.65014e-05,9.65014e-05
20,67.975,1.89925,1.96477,1.33597,0.00714,0.1,0.00654,0.00131,3.71927,58.4135,2.62488,9.87288e-05,9.87288e-05,9.87288e-05
21,71.4247,1.67286,1.91374,1.243,0.00714,0.1,0.00654,0.00131,3.66211,59.7607,2.64355,0.000100626,0.000100626,0.000100626
22,74.6532,2.10159,2.4323,1.68382,0.00714,0.1,0.00654,0.00131,3.66211,59.7607,2.64355,0.000102194,0.000102194,0.000102194
23,78.0014,1.59572,1.43258,1.15725,0.00714,0.1,0.00654,0.00131,3.67354,50.3006,2.62395,0.000103432,0.000103432,0.000103432
24,81.341,1.78455,1.41792,1.06034,0.00714,0.1,0.00654,0.00131,3.67354,50.3006,2.62395,0.00010434,0.00010434,0.00010434
25,85.1295,1.84723,1.45352,1.08474,0.00714,0.1,0.00654,0.00131,3.75843,40.3701,2.64655,0.000104918,0.000104918,0.000104918
26,88.4426,1.52939,1.21341,1.18394,0.00714,0.1,0.00654,0.00131,3.75843,40.3701,2.64655,0.000105166,0.000105166,0.000105166
27,91.9324,1.82812,1.5172,1.26818,0.00714,0.1,0.00654,0.00131,3.73746,35.0752,2.65188,0.000105085,0.000105085,0.000105085
28,95.0216,1.55505,1.31357,1.19289,0.00714,0.1,0.00654,0.00131,3.73746,35.0752,2.65188,0.000104673,0.000104673,0.000104673
29,98.444,1.63178,1.157,1.13702,0.00714,0.1,0.00654,0.00131,3.5161,36.3094,2.56096,0.000103932,0.000103932,0.000103932
30,101.618,1.42238,0.98972,1.03951,0.00714,0.1,0.00654,0.00131,3.5161,36.3094,2.56096,0.000102861,0.000102861,0.000102861
31,104.962,1.87357,1.29108,1.1941,0.00714,0.1,0.00654,0.00131,3.70468,37.0445,2.58557,0.000101459,0.000101459,0.000101459
32,108.417,1.8489,1.26569,1.08919,0.00714,0.1,0.00654,0.00131,3.70468,37.0445,2.58557,9.97284e-05,9.97284e-05,9.97284e-05
33,111.929,1.51482,1.05742,1.02363,0.00714,0.1,0.00654,0.00131,3.81557,33.737,2.66346,9.76676e-05,9.76676e-05,9.76676e-05
34,115.026,1.31889,0.97504,1.05774,0.00714,0.1,0.00654,0.00131,3.81557,33.737,2.66346,9.52769e-05,9.52769e-05,9.52769e-05
35,118.239,1.43233,1.12351,1.11682,0.00714,0.1,0.00654,0.00131,3.87215,33.4588,2.70764,9.25563e-05,9.25563e-05,9.25563e-05
36,121.277,1.35873,0.92088,1.01702,0.00714,0.1,0.00654,0.00131,3.87215,33.4588,2.70764,8.95059e-05,8.95059e-05,8.95059e-05
37,124.609,1.40059,0.94033,1.04201,0.00714,0.1,0.00654,0.00131,3.80632,36.8445,2.6755,8.61255e-05,8.61255e-05,8.61255e-05
38,127.706,1.36253,1.09981,1.05004,0.00714,0.1,0.00654,0.00131,3.80632,36.8445,2.6755,8.24154e-05,8.24154e-05,8.24154e-05
39,130.86,1.37892,0.91069,0.98758,0.00714,0.1,0.00654,0.00131,3.74946,37.3066,2.64445,7.83753e-05,7.83753e-05,7.83753e-05
40,133.698,1.57452,1.02611,1.02806,0.00714,0.1,0.00654,0.00131,3.74946,37.3066,2.64445,7.40054e-05,7.40054e-05,7.40054e-05
41,136.867,1.73563,1.55407,0.95455,0.00714,0.1,0.00654,0.00131,3.74261,35.8766,2.63569,6.93056e-05,6.93056e-05,6.93056e-05
42,139.73,1.3064,1.02322,1.08405,0.00714,0.1,0.00654,0.00131,3.74261,35.8766,2.63569,6.42759e-05,6.42759e-05,6.42759e-05
43,142.728,1.29646,1.0376,1.02073,0.00714,0.1,0.00654,0.00131,3.6946,32.9017,2.54873,5.89164e-05,5.89164e-05,5.89164e-05
44,145.533,1.32555,0.86362,0.90998,0.00714,0.1,0.00654,0.00131,3.6946,32.9017,2.54873,5.3227e-05,5.3227e-05,5.3227e-05
45,148.591,1.32693,0.91828,0.97526,0.00714,0.1,0.00654,0.00131,3.6814,29.9557,2.56076,4.72078e-05,4.72078e-05,4.72078e-05
46,151.681,1.48481,1.00218,0.97018,0.00714,0.1,0.00654,0.00131,3.6814,29.9557,2.56076,4.08586e-05,4.08586e-05,4.08586e-05
